equip-10000001,BM 3-12X40
equip-20000126,命中+<hit> 伤害+<pow>//n射速<rate>$M4 SOPMOD II专用
equip-30000126,透过与连线RO635心智云图的兵蚁建立数据共享，M4 SOPMOD2对战场的反应力获得了大幅提升。如果这只兵蚁比别只看得更远，那是因为它站在M4 SOPMOD2的肩上。
equip-40000126,
equip-10000127,高性能战术发饰
equip-20000127,伤害+<pow> 命中+<hit>//n回避+<dodge>$G41专用
equip-30000127,G41使用的看起来有些奇怪的球形发饰，内部藏有辅助提升索敌和瞄准能力的火控芯片，一旦变成红色的时候会非常危险，需要马上返厂维修。
equip-40000127,
equip-10000128,司登专用消音器
equip-20000128,暴击概率+<critical_percent><%>//n回避+<dodge>$司登MkⅡ专用
equip-30000128,古朴的消音器，曾经活跃于欧洲和太平洋战场，标配的帆布护手可以隔离发射时产生的热量，斯登MKII专用。
equip-40000128,
equip-10000129,M2两脚架
equip-20000129,暴击概率+<critical_percent><%>//n命中+<hit>$M14专用
equip-30000129,历史悠久的可折叠脚架，曾经短暂配发给M14，有效提升射击稳定性，M14专用。
equip-40000129,
equip-10000130,G36混合瞄准镜
equip-20000130,暴击概率+<critical_percent><%>//n命中+<hit>$G36专用
equip-30000130,为G36专门设计的瞄具组，结合了下方的3倍主光学瞄具和上方的单倍红点瞄具，可以根据作战环境变化灵活切换使用，G36专用。
equip-40000130,
equip-10000131,MGO 6X48
equip-20000131,命中+<hit> 伤害+<pow>//n暴击概率+<critical_percent><%>$LWMMG专用
equip-30000131,TJC公司为机枪作战优化过的专用红点，拥有6倍放大倍率和内置弹道标尺，让远距离火力压制变得更有效率，LWMMG专用。
equip-40000131,
equip-10000132,MG4用MGO
equip-20000132,命中+<hit> 射速<rate>//n暴击概率+<critical_percent><%>$MG4专用
equip-30000132,TJC公司为机枪作战优化过的专用红点，拥有6倍放大倍率和内置弹道标尺，更有德国陆军迷彩涂层，采购价格翻倍，MG4专用。
equip-40000132,
equip-10000133,APS专用枪托
equip-20000133,暴击+<critical_percent><%> 命中+<hit>//n回避+<dodge> 技能增强$斯捷奇金专用
equip-30000133,尽管后期型的树脂枪托更加轻便，但人人都知道，一个经典的，饱经风霜的实木枪托，才是任何有自尊的斯捷奇金的唯一选择。斯捷奇金专用。
equip-40000133,
equip-10000134,MPL M21
equip-20000134,伤害+<pow> 命中+<hit>//n射速<rate>$微型乌兹专用
equip-30000134,专为中东地区艰苦环境设计的红点瞄具，拥有光导纤维和氚双重点亮的准星，无需电池，乌兹专用。
equip-40000134,
equip-10000135,SP6亚音速弹
equip-20000135,伤害+<pow>//n$AS Val专用
equip-30000135,为配合消音器使用而特别开发的亚音速弹药，配合内含钢芯的弹头有着很高的泛用性，AS Val专用。
equip-40000135,
equip-10000136,7.92 KURZ
equip-20000136,伤害+<pow>//n$StG44专用
equip-30000136,专为STG44开发的7.9mm弹药，也是世界最早的中间威力弹之一，战时黄铜短缺而采用的钢制弹壳带来了独特的时髦配色，STG44专用。
equip-40000136,
equip-10000137,Adelhyde
equip-20000137,回避+<dodge>//n甜味Adelhyde$吉尔专用
equip-30000137,饮料中的甜味成分。由BTC统一配发。
equip-40000137,
equip-10000138,Flanergide
equip-20000138,回避+<dodge>//n辣味Flanegide$吉尔专用
equip-30000138,饮料中的辣味成分。由BTC统一配发。
equip-40000138,
equip-10000139,Adelhyde
equip-20000139,回避+<dodge>//n甜味Adelhyde$吉尔专用
equip-30000139,饮料中的甜味成分。由BTC统一配发。
equip-40000139,
equip-10000140,Bronson Ext
equip-20000140,回避+<dodge>//n苦味BronsonExt$吉尔专用
equip-30000140,饮料中的苦味成分。由BTC统一配发。
equip-40000140,
equip-10000141,Pwd Delta
equip-20000141,回避+<dodge>//n酸味PwdDelta$吉尔专用
equip-30000141,饮料中的酸味成分。由BTC统一配发。
equip-40000141,
equip-10000142,Karmotrine
equip-20000142,回避+<dodge>//n酒精Karmotrine$吉尔专用
equip-30000142,饮料中的酒精成分。由BTC统一配发。
equip-40000142,
equip-10000143,Karmotrine
equip-20000143,回避+<dodge>//n酒精Karmotrine$吉尔专用
equip-30000143,饮料中的酒精成分。由BTC统一配发。
equip-40000143,
equip-10000144,Karmotrine
equip-20000144,回避+<dodge>//n酒精Karmotrine$吉尔专用
equip-30000144,饮料中的酒精成分。由BTC统一配发。
equip-40000144,
equip-10000145,机械手臂
equip-20000145,伤害+<pow> 护甲+<armor>//n回避<dodge>$达娜专用
equip-30000145,达娜的机械臂。达娜从未透露失去手臂的原因。
equip-40000145,
equip-10000146,MIRD5级弹药
equip-20000146,伤害+<pow> 穿甲<armor_piercing>//n$多萝西专用
equip-30000146,多萝西对自己的手指进行了私自改装，可以发射大威力弹药。
equip-40000146,
equip-10000147,白骑士制式铠甲
equip-20000147,回避+<dodge>//n$赛伊专用
equip-30000147,白骑士制式铠甲，能够快速治疗受伤的穿戴者。
equip-40000147,
equip-10000148,电子义眼
equip-20000148,暴击伤害+<critical_harm_rate><%>//n射速+<rate> 移速<speed>$史黛拉专用
equip-30000148,史黛拉在幼年遭到歹徒袭击失去一只眼睛，之后就开始佩戴电子眼。
equip-40000148,
equip-10000149,机械义手
equip-20000149,伤害+<pow> 弹量+<bullet_number_up>//n回避<dodge>$阿尔玛专用
equip-30000149,为了防止长期敲键盘患腕管综合征（以及为了接入其他便利的功能），阿尔玛做手术将自己的双手换成了电子手。
equip-40000149,
equip-10000150,ZFG42
equip-20000150,命中+<hit> 射速<rate>//n暴击概率+<critical_percent><%>$FG42专用
equip-30000150,ZF公司专为FG42生产的光学瞄具，经过一百多年的时光，黄铜镜筒已经黯淡，玻璃镜片却依然德味，透过瞄具都感觉自己仿佛加入了马格南。 
equip-40000150,
equip-10000151,20GA猎鹿弹
equip-20000151,伤害+<pow> 命中+<hit>//n暴击伤害+<critical_harm_rate><%>$KS-23专用
equip-30000151,明黄色的弹体内含20颗铅弹，提供了顶尖的初速和极佳的指向性，可以大幅提升KS23的杀伤力。
equip-40000151,
equip-10000152,SIG510快慢机
equip-20000152,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$SIG-510专用
equip-30000152,专为SIG510设计的快慢机机构，可自由切换单发点射与全自动射击，可以适应多变的战场状况。
equip-40000152,
equip-10000153,BM59重管
equip-20000153,命中+<hit> 射速+<rate>//n暴击概率+<critical_percent><%>$BM59专用
equip-30000153,配备了重型枪管的BM59 Mark IV，在长时间全自动连射的情况下也不会过热，让BM59可以扮演班用火力支援的角色。
equip-40000153,
equip-10000154,OSS消音器
equip-20000154,伤害+<pow> 回避+<dodge>//n暴击概率+<critical_percent><%>$M3专用
equip-30000154,当年战略情报局为隐秘行动特别开发的消音器，除了能让M3更不容易被发现外，还附有牛皮制的隔热套，紧急情况下可以让指挥官食用。
equip-40000154,
equip-10000155,PPK消音器
equip-20000155,暴击概率+<critical_percent><%>//n回避+<dodge>$PPK专用
equip-30000155,一个淑女的包中除了口红外，永远还需要一支消音器。前者令人滔滔不绝，后者让人永远沉默。
equip-40000155,
equip-10000156,AMP COMPSP
equip-20000156,伤害+<pow> 命中+<hit>//n回避+<dodge>$UMP9专用
equip-30000156,AMP公司出品的UMP9特装版瞄具，主要特色是内建的4MOA准星是9喜欢的亮黄色。UMP9专用。
equip-40000156,
equip-10000157,LED武器灯
equip-20000157,伤害+<pow> 命中+<hit>//n回避+<dodge>$MP5专用
equip-30000157,高亮度的LED武器灯集成在整体更换的护木内，内置锂电池，可以通过护木上的开关快速操控。MP5专用。
equip-40000157,
equip-10000158,加速线圈
equip-20000158,暴击概率+<critical_percent><%>//n伤害+<pow>$汉阳造88式专用
equip-30000158,舍弃了古老的火药推进方式，全新升级的汉阳造配备了高性能加速线圈，可以瞬间将弹丸加速至5倍音速，也太厉害了。
equip-40000158,
equip-10000159,战术发卡
equip-20000159,伤害+<pow> 回避+<dodge>//n暴击伤害+<critical_harm_rate><%>$HK416专用
equip-30000159,416改造后配备了全新的增强型势态感知系统，虽然看起来只是普通的发卡，但实际上内建有22个各类传感器和天线阵列，极大地提高了HK416的作战效率。
equip-40000159,
equip-10000160,No32 MKI
equip-20000160,暴击概率+<critical_percent><%>//n射速+<rate>$李-恩菲尔德专用
equip-30000160,上世纪大战早期，专为李恩菲尔德no4 MKI(T)狙击步枪生产的光学瞄具，配有华丽的黄铜套筒，略微昏暗的镜片见证了无数生命的消逝，李恩菲尔德专用。
equip-40000160,
equip-10000161,先进单兵瞄具
equip-20000161,暴击概率+<critical_percent><%>//n伤害+<pow>$95式//c97式专用
equip-30000161,专为增强95/97式战场感知和作战适应性设计的一体式瞄具，集成了有线传输的电子瞄具和测距仪，使95/97在掩体后不暴露自己便可进行攻击。
equip-40000161,
equip-10000162,RPD单兵装具
equip-20000162,弹量+<bullet_number_up> 回避<dodge>//n伤害+<pow>$RPD专用
equip-30000162,战前某东方阵营生产的单兵装备，轻便实用，在部分爱好者中有很高的人气，治安任务时候经常被人以高价索要，令RPD十分困扰。
equip-40000162,
equip-10000163,MAX10上机匣
equip-20000163,暴击概率+<critical_percent><%>//n回避+<dodge> 射速<rate>$MAC10专用
equip-30000163,MAC10专用的改装上机匣，增加了可灵活配置装具的导轨系统的同时降低了射速，使其更容易被火控模块控制，最重要的还是看上去非常酷。
equip-40000163,
equip-10000164,M9 BC2握把
equip-20000164,暴击概率+<critical_percent><%>//n回避+<dodge> 命中+<hit>$M9专用
equip-30000164,M9专用的改装聚合物战术握把，集成了皮卡汀尼下导轨，在提高控制力的同时增加了战术配件的灵活性。
equip-40000164,
equip-10000165,战术耳机
equip-20000165,伤害+<pow> 射速+<rate>//n回避+<dodge>$TAR-21专用
equip-30000165,TAR21标志性的头部装备，看起来像兔耳的内部集成了大量传感器，可以在掩体后不暴露自己的同时精确定位目标。
equip-40000165,
equip-10000166,DO反射瞄具
equip-20000166,命中+<hit> 伤害+<pow>//n射速<rate>$伯莱塔38型专用
equip-30000166,一款搭载7MOA准星的反射瞄具，因其小巧轻便的特性而在战前的民用市场中十分流行，通过焊接的皮轨装在贝雷塔38上，极大地提高了使用体验。
equip-40000166,
equip-10000167,C96橡木枪托
equip-20000167,暴击概率+<critical_percent><%>//n回避+<dodge>$C96专用
equip-30000167,专为毛瑟C96特制的实木枪托，提高连续射击时的精确度，装饰有与人形服饰配色向搭配的布套，打开后盖内部空间还可以收纳一些零食，真是太实用了。
equip-40000167,
equip-10000168,折叠枪托
equip-20000168,暴击概率+<critical_percent><%>//n回避+<dodge>$樱花专用
equip-30000168,专为伞兵作战设计的折叠枪托，比较特别的是相比其他枪支常见的金属折叠托，樱花沿用了木质枪托配合金属活页折叠结构，樱花专用。
equip-40000168,
equip-10000169,RFB前导轨
equip-20000169,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$RFB专用
equip-30000169,牛犊式布局的突击步枪安装配件经常面临导轨不足的困境，多亏了KTC原厂推出的3英寸四导轨护木，战术圣诞树再也不是传统布局枪支的专属了，RFB专用。
equip-40000169,
equip-10000170,20mm HEI
equip-20000170,穿甲+<armor_piercing>//n伤害+<pow>$NTW-20专用
equip-30000170,有什么比一颗高速飞向你的20mm弹头更可怕？答案是一颗20mm高爆引燃弹头，在你听到枪声前，你前面的墙壁，你，你身后的墙壁，墙壁后的邻居，就已经都不复存在了。
equip-40000170,
equip-10000171,战术闪电呆毛
equip-20000171,回避+<dodge>//n暴击概率+<critical_percent><%>$斯捷奇金专用
equip-30000171,指挥部的大家都很在意斯捷奇金那会灵活摆动的闪电形呆毛，背地里觉得这个作为维持人设的特征未免过于抢眼，直到有一天P7发现斯捷奇金睡觉时将呆毛摘下放在一旁充电。
equip-40000171,
equip-10000172,ART2
equip-20000172,暴击概率+<critical_percent><%>//n伤害+<pow>$M21专用
equip-30000172,为精准射击准备的瞄准镜，金色的目镜边框别具一番风味，让M21爱不释手。
equip-40000172,
equip-10000173,9x39mm SPP
equip-20000173,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$Ots-12专用
equip-30000173,新式的9x39mm子弹，比一般同口径的子弹有着更高的穿透能力，看似无害的蓝色弹头下面隐藏的是惊人的破坏力，不可小视。
equip-40000173,
equip-10000174,Frag12高爆弹
equip-20000174,目标-2 伤害+<pow>//n命中+<hit> 普攻增强$AA-12专用
equip-30000174,为12号霰弹枪设计的高爆弹头，以AA12为宣传手段快速在市场中占据了一席之地，高爆弹头的效果和AA12的自动射击结合在一起，爆炸就是艺术！
equip-40000174,目标-2
equip-10000175,BPR4&SRM6
equip-20000175,暴击概率+<critical_percent><%>//n伤害+<pow> 回避+<dodge>$MDR专用
equip-30000175,OSS为.308和7.62mm口径设计的消音器，模块化设计和新潮的外观迅速在格里芬讨论版上走红，某匿名版常客自然是不会错过这样的产品。
equip-40000175,
equip-10000176,7n31
equip-20000176,伤害+<pow> 穿甲+<armor_piercing>//n射速+<rate>$GSh-18专用
equip-30000176,比起一般的9x19mm Para弹有着更高的穿透能力，为了应对敌方日益增多的装甲单位，Gsh18采购了不少7n31。
equip-40000176,
equip-10000177,MGP升级套件
equip-20000177,命中+<hit> 射速<rate>//n暴击伤害+<critical_harm_rate><%>$M500专用
equip-30000177,著名枪械配件厂生产的升级配件，Mlok系统带来了极高的配件适应力，后托的长度也更适合一般体型的人形使用了。
equip-40000177,
equip-10000178,12.7mm 1SL
equip-20000178,穿甲+<armor_piercing>//n伤害+<pow>$KSVK专用
equip-30000178,本身是使用在攻击直升机上的特种弹药，为了增加对地攻击时的命中概率在弹壳中加入了第二个弹头，在KSVK的强烈要求下，IOP将这种子弹改造成了能够在她的枪械上面正常使用的样子。这样也能在作战时起到不错的压制效果吧。
equip-40000178,
equip-10000179,WML&战术护木
equip-20000179,暴击概率+<critical_percent><%>//n回避+<dodge>$M950A专用
equip-30000179,改造后的M950A安装了战术护木，四条皮轨让可M950A在配件上有了更多的选择，另一方面M950A经常抱怨枪头因为护木变重了不少，导致训练的成本又增加了。
equip-40000179,
equip-10000180,战术握把
equip-20000180,暴击概率+<critical_percent><%>//n回避+<dodge>$马卡洛夫专用
equip-30000180,由著名枪械配件厂为马卡洛夫PM设计的战术握把，内置弹匣快速释放的结构。同时提升了握持的舒适感，是一件能让使用者爱不释手的产品。
equip-40000180,
equip-10000181,RIP380ACP
equip-20000181,伤害+<pow> 穿甲<armor_piercing>//n射速<rate>$蝎式专用
equip-30000181,旋转炸裂！从外表到杀伤力都极其凶悍的空尖弹，扩张弹头能迅速对软目标造成极大的伤害。真是弹如其名“R.I.P”。
equip-40000181,
equip-10000182,S&B762
equip-20000182,伤害+<pow>//n射速<rate>$79式专用
equip-30000182,85gr（5.5g）全金属被甲弹能够提升射击时的贯通力，79式手中的新宠。
equip-40000182,
equip-10000183,决斗扑克
equip-20000183,暴击伤害+<critical_harm_rate><%>//n移速<speed>$莉可专用
equip-30000183,虽然起了帅气的名字，但实际上只是搭纸牌塔的玩具而已。这是生而为了破坏的义体为数不多能够建造的东西。
equip-40000183,
equip-10000184,童话绘本
equip-20000184,回避+<dodge>//n伤害+<pow>$安洁莉卡专用
equip-30000184,记载着美好童话的绘本，安放着少女的梦境与记忆。无论何时，看到它就能够安心。
equip-40000184,
equip-10000185,平光镜
equip-20000185,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$库拉耶丝专用
equip-30000185,见证了某人与某人约定的眼镜，虽然没有度数，却能让她更加冷静地看待世界。
equip-40000185,
equip-10000186,格斗刀
equip-20000186,伤害+<pow> 暴击+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$崔耶拉专用
equip-30000186,在枪械无法使用的时候，就用上刀，用上拳头和牙齿来战斗。一切为了胜利。
equip-40000186,
equip-10000187,古董万花筒
equip-20000187,暴击概率+<critical_percent><%>//n回避+<dodge> 命中+<hit>$海莉艾塔专用
equip-30000187,做工考究的万花筒。持有者并不关注这到底是真品还是赝品，其中蕴含的心意才是她最珍视的东西。
equip-40000187,
equip-10000188,天外陨石
equip-20000188,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$库拉耶丝专用
equip-30000188,无论施加多少血火磨难，都不能使这颗真心磨灭。
equip-40000188,
equip-10000189,计时腕表
equip-20000189,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$库拉耶丝专用
equip-30000189,按部就班地生活也是一种平稳的幸福。
equip-40000189,
equip-10000190,G-box
equip-20000190,伤害+<pow> 命中+<hit>//n暴击伤害+<critical_harm_rate><%>$G11专用
equip-30000190,由IOP专为g11开发的神秘工具箱，据说设计之初只是一个便携人形能源备用机。最终版本的Gbox还能储存g11的日用品，彻底成为了她的移动生活终端。同时据g11所说此箱子对她有着相当之高的战术价值。
equip-40000190,
equip-10000191,ACS-L
equip-20000191,暴击概率+<critical_percent><%>//n伤害+<pow>$S-SASS专用
equip-30000191,MGP设计的聚合物后托，后部设有小型储物仓可以放置工具。宽大的托腮增加了使用者的舒适度。
equip-40000191,
equip-10000192,爱宠挂饰
equip-20000192,伤害<pow>//n回避+<dodge>$RO635专用
equip-30000192,专为RO635设计的多功能挂饰，集解压、警报、承重等多项功能为一体。据说在设计过程中，某位人形曾强行闯入现场，胁迫设计师采用自己的形象进行设计。
equip-40000192,
equip-10000193,战术机动盾
equip-20000193,护甲+<armor> 回避+<dodge>//n$97式霰专用
equip-30000193,IOP为97霰设计的高机动防弹盾牌，简练的结构和朴素的外表使其可靠性相当之高。
equip-40000193,
equip-10000194,战术导轨
equip-20000194,暴击概率+<critical_percent><%>//n回避+<dodge>$谢尔久科夫专用
equip-30000194,专为谢尔久科夫手枪设计的战术导轨，使得手枪能更换外部配件以应对不同的环境。
equip-40000194,
equip-10000195,.357被甲空尖弹
equip-20000195,伤害+<pow> 穿甲<armor_piercing>//n$阿斯特拉左轮专用
equip-30000195,180gr装药的.357口径被甲空尖弹，铜制被甲能够防止枪管挂铅 ，同时还能起到扩大空腔的作用。
equip-40000195,
equip-10000196,战术折叠后托
equip-20000196,伤害+<pow>//n回避+<dodge>$幽灵M4专用
equip-30000196,专为幽灵M4设计的折叠后托，让枪械使用起来更加得心应手了。
equip-40000196,
equip-10000197,MK31多功能骨骼
equip-20000197,伤害<pow>//n回避+<dodge>$索米专用
equip-30000197,IOP专为索米设计的高性能腿用外骨骼，外部附加了一个小型机械臂可供使用者进行操作。是集操作性和机动性为一体的最新锐外骨骼。
equip-40000197,
equip-10000198,木制握把片
equip-20000198,暴击概率+<critical_percent><%>//n回避+<dodge>$NZ75专用
equip-30000198,专为NZ75设计的木制握把片，大大地提升了握持手感。
equip-40000198,
equip-10000199,Osprey45消音
equip-20000199,暴击概率+<critical_percent><%>//n回避+<dodge>$特工维克托专用
equip-30000199,在SHD大规模装备的消音器，主要使用在维克托.45ACP上，出色的性能和干练的外观让其颇受欢迎。
equip-40000199,
equip-10000200,.45空尖弹（燃烧）
equip-20000200,伤害+<pow> 穿甲<armor_piercing>//n$特工维克托专用
equip-30000200,在普通的空尖弹上改装而成，概率性将敌人点燃从而增加了整体输出。
equip-40000200,
equip-10000201,go bag "V"
equip-20000201,回避+<dodge> 伤害<pow>//n$特工维克托专用
equip-30000201,专为特工维克托设计的go bag，小巧的收纳包兼顾了功能性同时也不会拖慢维克托的行动节奏。
equip-40000201,
equip-10000202,Acog-(4X)
equip-20000202,暴击概率+<critical_percent><%>//n$特工416专用
equip-30000202,根据SHD需求特别改装的光学倍镜，安装在步枪上有效增加了在中远距离作战时的效率。
equip-40000202,
equip-10000203,556高速弹（爆破）
equip-20000203,伤害+<pow>//n$特工416专用
equip-30000203,在普通的5.56mm高速弹上改装而成，命中敌人时会产生爆炸从而提升输出，据说同时还有吸引目标注意力的功能。
equip-40000203,
equip-10000204,416's go bag
equip-20000204,回避+<dodge>//n$特工416专用
equip-30000204,在基础的SHD go bag上根据特工416个人需求专属定制的背包。
equip-40000204,
equip-10000205,加利尔专用护木
equip-20000205,伤害+<pow> 命中+<hit>//n回避<dodge>$加利尔专用
equip-30000205,专为加利尔步枪设计的模块化护木，全新的mlok系统带来了更多的可能性。
equip-40000205,
equip-10000206,12ga飞镖弹
equip-20000206,伤害+<pow> 命中+<hit>//n$M1897专用
equip-30000206,过去战争中使用的特殊飞镖弹，每发弹药中装有20个小型飞镖，据说主要用来处理叶林中的敌人。
equip-40000206,
equip-10000207,pt-3后托
equip-20000207,伤害+<pow>//n回避+<dodge>$PP-19专用
equip-30000207,大名鼎鼎的ZNT设计的后托，从设计和做工都透露出了浓厚的俄味。
equip-40000207,
equip-10000208,SPP
equip-20000208,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$Ots-44专用
equip-30000208,原本是为NSV-12.7设计的3倍可变焦瞄准镜，稍加调整后成为了OTs-44的专属瞄具。
equip-40000208,
equip-10000209,三棱刺
equip-20000209,暴击概率+<critical_percent><%>//n伤害+<pow>$63式专用
equip-30000209,在过去的战争中活跃的特殊刺刀，如今被IOP加工后拥有了更强的杀伤力和穿透性。
equip-40000209,
equip-10000210,SCW后托
equip-20000210,暴击概率+<critical_percent><%>//n回避+<dodge>$SCW专用
equip-30000210,既可将托垫部分收起又可以将整体折叠至侧面，将SCW的超紧凑概念发挥到极致的独特后托。
equip-40000210,
equip-10000211,有坂穿甲弹
equip-20000211,伤害+<pow> 穿甲+<armor_piercing>//n强化被动技能$四式专用
equip-30000211,7.7毫米口径的有坂子弹，弹头上用不同颜色的环来代表不同的弹种，其中黑色是为了应对装甲目标设计的穿甲弹。
equip-40000211,
equip-10000212,特制曳光弹
equip-20000212,伤害+<pow> 穿甲+<armor_piercing>//n$56式半专用
equip-30000212,为56式半设计的曳光弹，在标识敌方目标的同时还能起到点燃的效果，可以说是一举两得。
equip-40000212,
equip-10000213,特种行动包
equip-20000213,回避+<dodge> 护甲+<armor>//n强化被动技能$维尔德专用
equip-30000213,专为维尔德设计的多功能战斗包具，表面上看是一般的公文包，实质上内部收纳了大量火力和一块机动盾牌以备不时之需。
equip-40000213,
equip-10000214,生存专家
equip-20000214,回避+<dodge> 伤害+<pow>//n$F1专用
equip-30000214,专为在F1制作的砍刀，在丛林环境下作战的必需品。
equip-40000214,
equip-10000215,特制穿甲燃烧弹
equip-20000215,伤害+<pow> 穿甲+<armor_piercing>//n$80式专用
equip-30000215,为应对装甲目标而设计的穿甲燃烧弹，80式大量使用的特殊弹种。
equip-40000215,
equip-10000216,20G特制独头弹
equip-20000216,目标-2 暴击概率+<critical_percent><%>//n伤害+<pow> 技能增强$防卫者专用
equip-30000216,为20G口径制作的特殊独头弹，配合防卫者的8管连射可以对敌方造成毁灭性的打击。
equip-40000216,目标-2
equip-10000217,SB 2.5-10x56
equip-20000217,暴击概率+<critical_percent><%>//n伤害+<pow>$WA2000专用
equip-30000217,由SB生产的高倍镜，是WA2000最常使用且最喜爱的专用倍镜。
equip-40000217,
equip-10000218,高性能迷彩骨骼
equip-20000218,回避+<dodge>//n技能增强$64式专用
equip-30000218,为64式量身定做的特制外骨骼，大幅提升了运动性能的同时还附带了迷彩装甲，是一套专注于实用性的外骨骼。
equip-40000218,
equip-10000219,试验弯曲枪管
equip-20000219,伤害+<pow>//n回避+<dodge>$PPSh-41专用
equip-30000219,据说是过去战争中的试验品，蓝图被发现后由IOP重新制作，虽然可靠性和实用性都成问题，但是能够躲在掩体后面进行射击的概念似乎一直有着很大的市场。
equip-40000219,
equip-10000220,专用钢制后托
equip-20000220,命中+<hit> 暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$M1919A4专用
equip-30000220,古老的钢制后托，坚固耐用，表面遍布的刮痕诉说着它经历过的数不清的战场。
equip-40000220,
equip-10000221,磁轨加速弹
equip-20000221,穿甲+<armor_piercing>//n伤害+<pow>$汉阳造88式专用
equip-30000221,16Lab专为88式的加速线圈开发的新式特殊弹药，大大提升了子弹的初速。
equip-40000221,
equip-10000222,RMR红点
equip-20000222,命中+<hit>//n暴击概率+<critical_percent><%>$HG//cMG专用
equip-30000222,著名的配件生产商TJC设计的红点瞄具，兼顾极高的可靠性和实用性，手枪和机枪均可装备。
equip-40000222,
equip-10000223,RMR T2红点
equip-20000223,命中+<hit>//n暴击概率+<critical_percent><%>$HG//cMG专用
equip-30000223,著名的配件生产商TJC设计的红点瞄具，在基础款RMR上改进了断电问题以及改进电路逻辑，手枪和机枪均可装备。
equip-40000223,
equip-10000224,RMR T4红点
equip-20000224,命中+<hit>//n暴击概率+<critical_percent><%>$HG//cMG专用
equip-30000224,在RMR红点基础上增加了于战术少女的适配性，能够通过内置微型电脑和战术少女共享目标信息，手枪和机枪均可装备。
equip-40000224,
equip-10000225,信号弹
equip-20000225,射速<rate>//n梯队命中+10%$HG//cSMG专用
equip-30000225,一款击发原理简单且可靠的信号枪，搭配上12号口径的信号弹，让人形在战场上的信息沟通更加高效，手枪和冲锋枪均可装备。
equip-40000225,梯队命中+10%
equip-10000226,M33狙击弹
equip-20000226,伤害+<pow> 穿甲+<armor_piercing>$RF//cMG专用
equip-30000226,牺牲了一定的弹头穿透能力以换取长距离上更加稳定的弹道，专为长距离精准射击准备的子弹，狙击枪和机枪均可装备。
equip-40000226,
equip-10000227,M1022狙击弹
equip-20000227,伤害+<pow> 穿甲+<armor_piercing>$RF//cMG专用
equip-30000227,一种全新的长距离狙击弹，在普通的狙击弹上进一步强化了弹道的稳定性，狙击枪和机枪均可装备。
equip-40000227,
equip-10000228,Mk900SLAP
equip-20000228,射速<rate> 穿甲+<armor_piercing>$MG专用
equip-30000228,为了最大限度提升子弹穿甲效果所设计的小型脱壳穿甲弹，机枪可装备。
equip-40000228,
equip-10000229,Mk1000SLAP
equip-20000229,射速<rate> 穿甲+<armor_piercing>$MG专用
equip-30000229,由IOP开发的全新小型脱壳穿甲弹，大幅度强化了穿甲效果，机枪可装备。
equip-40000229,
equip-10000230,#6鸟弹
equip-20000230,目标+2 射速+<rate>//n暴击伤害<critical_harm_rate><%>$SG专用
equip-30000230,一种传统的狩猎用霰弹，专为小型目标设计，内部装有大量的小型弹丸以提升杀伤覆盖面，弹丸经过IOP重新设计提升了杀伤能力，霰弹枪可装备。
equip-40000230,目标+2
equip-10000231,#7.5鸟弹
equip-20000231,目标+2 射速+<rate>//n暴击伤害<critical_harm_rate><%>$SG专用
equip-30000231,7.5号鸟弹相比起6号鸟弹装载的弹丸体积更小，提升了弹丸的装载量因此拥有更广的杀伤覆盖面，霰弹枪可装备。
equip-40000231,目标+2
equip-10000232,试制运算芯片
equip-20000232,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$SMG//cAR专用
equip-30000232,一种由IOP设计的新型运算芯片，能够小幅度提升人形的战斗能力，冲锋枪和突击步枪均可装备。
equip-40000232,
equip-10000233,#1运算芯片
equip-20000233,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$SMG//cAR专用
equip-30000233,由IOP设计改进的运算芯片，相比起试制版的芯片对人形能力的提升效果更加明显，冲锋枪和突击步枪均可装备。
equip-40000233,
equip-10000234,#2运算芯片
equip-20000234,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$SMG//cAR专用
equip-30000234,IOP最新开发的第二代运算芯片，在第一代运算芯片之上提升了与人形的兼容性，冲锋枪和突击步枪均可装备。
equip-40000234,
equip-10000235,霰弹用闪光弹
equip-20000235,命中+<hit>//n受到的伤害-3$SG专用
equip-30000235,一种可以发射闪光弹的弹壳，虽然没有什么杀伤力，但是能降低敌方的能力使得我方人形受到的伤害降低和提升命中率，霰弹枪可装备。
equip-40000235,受到的伤害-3
equip-10000236,汤姆森外骨骼
equip-20000236,伤害<pow>//n回避+<dodge>$汤姆森专用
equip-30000236,配备弹鼓的汤姆森轻机枪有多沉？大概是2把M4捆在一起的重量，不管从哪个角度都不是很“轻机枪”，专用的外骨骼可以有效提升其在战场上的灵活性。
