theater_area-10000411,普通关卡
theater_area-30000811,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000811,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000812,普通关卡
theater_area-30000812,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000812,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000813,普通关卡
theater_area-30000813,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000813,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000814,要塞关卡
theater_area-30000814,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000814,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000815,普通关卡
theater_area-30000815,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000815,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000816,普通关卡
theater_area-30000816,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000816,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000817,普通关卡
theater_area-30000817,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000817,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000818,要塞关卡
theater_area-30000818,突击步枪：提升10%伤害；冲锋枪：提升10%回避
theater_area-20000818,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000821,普通关卡
theater_area-30000821,开局获得100点护盾
theater_area-20000821,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000822,普通关卡
theater_area-30000822,开局获得100点护盾
theater_area-20000822,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000823,普通关卡
theater_area-30000823,开局获得100点护盾
theater_area-20000823,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000824,要塞关卡
theater_area-30000824,开局获得100点护盾
theater_area-20000824,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000825,普通关卡
theater_area-30000825,开局获得100点护盾
theater_area-20000825,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000826,普通关卡
theater_area-30000826,开局获得100点护盾
theater_area-20000826,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000827,普通关卡
theater_area-30000827,开局获得100点护盾
theater_area-20000827,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000828,要塞关卡
theater_area-30000828,开局获得100点护盾
theater_area-20000828,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000831,普通关卡
theater_area-30000831,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000831,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000832,普通关卡
theater_area-30000832,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000832,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000833,要塞关卡
theater_area-30000833,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000833,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000834,普通关卡
theater_area-30000834,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000834,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000835,普通关卡
theater_area-30000835,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000835,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000836,要塞关卡
theater_area-30000836,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000836,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000837,普通关卡
theater_area-30000837,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000837,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000838,要塞关卡
theater_area-30000838,突击步枪：提升10%伤害；冲锋枪：提升10%回避；所有枪种开局均获得100点护盾
theater_area-20000838,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000841,普通关卡
theater_area-30000841,开局获得100点护盾
theater_area-20000841,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000842,普通关卡
theater_area-30000842,开局获得100点护盾
theater_area-20000842,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000843,要塞关卡
theater_area-30000843,开局获得100点护盾
theater_area-20000843,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000844,普通关卡
theater_area-30000844,开局获得100点护盾
theater_area-20000844,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000845,普通关卡
theater_area-30000845,开局获得100点护盾
theater_area-20000845,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000846,要塞关卡
theater_area-30000846,开局获得100点护盾
theater_area-20000846,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000847,普通关卡
theater_area-30000847,开局获得100点护盾
theater_area-20000847,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000848,要塞关卡
theater_area-30000848,开局获得100点护盾
theater_area-20000848,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000911,普通关卡
theater_area-30000911,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20000911,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000912,普通关卡
theater_area-30000912,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20000912,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000913,普通关卡
theater_area-30000913,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20000913,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000914,要塞关卡
theater_area-30000914,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20000914,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000915,普通关卡
theater_area-30000915,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20000915,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000916,普通关卡
theater_area-30000916,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20000916,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000917,普通关卡
theater_area-30000917,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20000917,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000918,要塞关卡
theater_area-30000918,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20000918,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10000921,普通关卡
theater_area-30000921,步枪：伤害和命中+20%
theater_area-20000921,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000922,普通关卡
theater_area-30000922,步枪：伤害和命中+20%
theater_area-20000922,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000923,普通关卡
theater_area-30000923,步枪：伤害和命中+20%
theater_area-20000923,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000924,要塞关卡
theater_area-30000924,步枪：伤害和命中+20%
theater_area-20000924,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000925,普通关卡
theater_area-30000925,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20000925,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000926,普通关卡
theater_area-30000926,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20000926,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000927,普通关卡
theater_area-30000927,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20000927,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000928,要塞关卡
theater_area-30000928,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20000928,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10000931,普通关卡
theater_area-30000931,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20000931,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000932,普通关卡
theater_area-30000932,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20000932,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000933,要塞关卡
theater_area-30000933,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20000933,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000934,普通关卡
theater_area-30000934,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20000934,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000935,普通关卡
theater_area-30000935,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20000935,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000936,要塞关卡
theater_area-30000936,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20000936,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000937,普通关卡
theater_area-30000937,步枪：伤害和命中+20%//n机枪：伤害和命中+20%//n霰弹枪：护甲+20%
theater_area-20000937,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000938,要塞关卡
theater_area-30000938,步枪：伤害和命中+20%//n机枪：伤害和命中+20%//n霰弹枪：护甲+20%
theater_area-20000938,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10000941,普通关卡
theater_area-30000941,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20000941,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000942,普通关卡
theater_area-30000942,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20000942,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000943,要塞关卡
theater_area-30000943,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20000943,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000944,普通关卡
theater_area-30000944,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20000944,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000945,普通关卡
theater_area-30000945,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20000945,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000946,要塞关卡
theater_area-30000946,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20000946,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000947,普通关卡
theater_area-30000947,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%
theater_area-20000947,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10000948,要塞关卡
theater_area-30000948,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%
theater_area-20000948,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001011,普通关卡
theater_area-30001011,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20001011,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001012,普通关卡
theater_area-30001012,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20001012,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001013,普通关卡
theater_area-30001013,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20001013,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001014,要塞关卡
theater_area-30001014,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%//n手枪：技能冷却缩减+20%
theater_area-20001014,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001015,普通关卡
theater_area-30001015,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20001015,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001016,普通关卡
theater_area-30001016,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20001016,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001017,普通关卡
theater_area-30001017,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20001017,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001018,要塞关卡
theater_area-30001018,突击步枪：伤害和命中+20%//n机枪：伤害和命中+20%
theater_area-20001018,被枪林弹雨洗礼的山头，是我们前进的第一道障碍。为了下一阶段的作战，我们要拿下这片区域，作为前进的立足点。
theater_area-10001021,普通关卡
theater_area-30001021,步枪：伤害和命中+20%
theater_area-20001021,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001022,普通关卡
theater_area-30001022,步枪：伤害和命中+20%
theater_area-20001022,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001023,普通关卡
theater_area-30001023,步枪：伤害和命中+20%
theater_area-20001023,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001024,要塞关卡
theater_area-30001024,步枪：伤害和命中+20%
theater_area-20001024,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001025,普通关卡
theater_area-30001025,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20001025,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001026,普通关卡
theater_area-30001026,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20001026,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001027,普通关卡
theater_area-30001027,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20001027,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001028,要塞关卡
theater_area-30001028,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%
theater_area-20001028,为了打开局面，我们决定延伸战线包围目标。但此地密集的敌军炮火，却宛如连绵不绝的雷声回荡在战场上空。
theater_area-10001031,普通关卡
theater_area-30001031,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20001031,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001032,普通关卡
theater_area-30001032,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20001032,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001033,要塞关卡
theater_area-30001033,步枪：伤害和命中+20%//n手枪：技能冷却缩减+20%//n霰弹枪：护甲+20%
theater_area-20001033,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001034,普通关卡
theater_area-30001034,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20001034,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001035,普通关卡
theater_area-30001035,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20001035,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001036,要塞关卡
theater_area-30001036,突击步枪：伤害和命中+20%//n冲锋枪：命中和回避+50%
theater_area-20001036,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001037,普通关卡
theater_area-30001037,步枪：伤害和命中+20%//n机枪：伤害和命中+20%//n霰弹枪：护甲+20%
theater_area-20001037,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001038,要塞关卡
theater_area-30001038,步枪：伤害和命中+20%//n机枪：伤害和命中+20%//n霰弹枪：护甲+20%
theater_area-20001038,作战终于来到了收尾阶段，但这最后的一步却也是最艰难的一步。赢得胜利或是跌落地狱，一切都取决于我们接下来的行动。
theater_area-10001041,普通关卡
theater_area-30001041,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20001041,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001042,普通关卡
theater_area-30001042,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20001042,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001043,要塞关卡
theater_area-30001043,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%//n机枪：换弹时间固定为3秒//n霰弹枪：受到的伤害-10//n
theater_area-20001043,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001044,普通关卡
theater_area-30001044,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20001044,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001045,普通关卡
theater_area-30001045,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20001045,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001046,要塞关卡
theater_area-30001046,机枪：攻击附加100点固定伤害//n霰弹枪：每秒获得20点护盾
theater_area-20001046,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001047,普通关卡
theater_area-30001047,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%
theater_area-20001047,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
theater_area-10001048,要塞关卡
theater_area-30001048,手枪：提升全队伤害和回避20%//n步枪：暴击伤害提升100%
theater_area-20001048,攻破了外围的坚强防御只是开始，我们将要深入山谷内部消灭盘据于此的敌军。坚持到最后一秒的人，方能取得最后的胜利。
